,name,doi,pdf_link,brat_link,pdfminer_link,html_link,doi_link,Deposition Number(s),Space Group,Cell,element,info.source,info.formula,info.natoms,info.pld,info.lcd,info.density,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.bandgap,outputs.pbe.directgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.net_magmom
10,ADABUE,anie.201202992,http://d.sunie.top:9009/material/convert/core_qmof_pdf/anie.201202992.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/anie.201202992,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/anie.201202992.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/anie.201202992.html,http://dx.doi.org/10.1002/anie.201202992,855259.0,C 2/c (15),"a 28.612(2)Å b 9.3899(7)Å c 9.2741(8)Å, α 90° β 92.657(10)° γ 90°","catena-(bis(μ3-tetrazole-5-carboxylato)-(μ2-4,4'-propane-1,3-diyldipyridine)-di-copper trihydrate)",CSD,Cu4C34H28N20O8,94,2.76003,4.01878,1.5108942662927145,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,True,-644.41244014,-6.98627,-637.42617014,0.710393,True,0.07949,-0.630903,2.0
11,ADEGIA01,s10904-014-0025-0,http://d.sunie.top:9009/material/convert/core_qmof_pdf/s10904-014-0025-0.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/s10904-014-0025-0,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/s10904-014-0025-0.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/s10904-014-0025-0.html,http://dx.doi.org/10.1007/s10904-014-0025-0,949513.0,P 1 (2),"a 8.6006(17)Å b 10.173(2)Å c 11.125(2)Å, α 65.11(3)° β 71.80(3)° γ 78.86(3)°","catena-[tris(μ-terephthalato)-diaqua-bis(N,N-dimethylformamide)-di-gadolinium]",CSD,Gd2C30H30N2O16,80,1.26292,2.87952,2.008017465354617,PBE-D3BJ,"['Gd_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 2]",False,False,-538.46803283,-6.15333,-532.31470283,3.381991,False,2.34446,-1.037531,0.0
12,ADIQEL,c2dt31361h,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c2dt31361h.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c2dt31361h,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c2dt31361h.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c2dt31361h.html,http://dx.doi.org/10.1039/c2dt31361h,884013.0,P 21/n (14),"a 8.2010(16)Å b 10.492(2)Å c 11.125(2)Å, α 90° β 95.28(3)° γ 90°",catena-(bis(μ3-2-(pyridin-4-yl)malonaldehydato)-cobalt(ii) methanol solvate),CSD,Co2C32H24N4O8,70,3.69613,4.26224,1.276797785799079,PBE-D3BJ,"['Co 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 2]",False,True,-480.05713235,-4.94162,-475.11551235,1.20962,False,1.479484,0.269864,0.0
13,ADODII,c2cc35432b,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c2cc35432b.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c2cc35432b,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c2cc35432b.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c2cc35432b.html,http://dx.doi.org/10.1039/c2cc35432b,891416.0,C 2 (5),"a 33.136(6)Å b 7.3933(12)Å c 14.349(2)Å, α 90° β 104.510(3)° γ 90°",,CSD,La2C52H40O19,113,5.2513,5.93855,1.205493308975382,PBE-D3BJ,"['La 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-774.40218002,-6.9232,-767.47898002,3.449792,False,1.509565,-1.940227,0.0
14,ADODOO,c2cc35432b,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c2cc35432b.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c2cc35432b,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c2cc35432b.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c2cc35432b.html,http://dx.doi.org/10.1039/c2cc35432b,891417.0,C 2 (5),"a 32.789(3)Å b 7.1091(7)Å c 14.5399(15)Å, α 90° β 104.454(2)° γ 90°",,CSD,Eu2C52H40O19,113,5.18549,5.8401,1.2896847267022933,PBE-D3BJ,"['C 08Apr2002', 'Eu_3 20Oct2008', 'H 15Jun2001', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-773.6304744,-7.06069,-766.5697844,3.445564,False,1.467136,-1.978428,0.0
15,ADODUU,c2cc35432b,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c2cc35432b.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c2cc35432b,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c2cc35432b.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c2cc35432b.html,http://dx.doi.org/10.1039/c2cc35432b,891418.0,C 2 (5),"a 32.6663(15)Å b 7.0665(3)Å c 14.5262(7)Å, α 90° β 104.3980(10)° γ 90°",,CSD,Tb2C52H40O19,113,5.16433,5.80654,1.3172288722074288,PBE-D3BJ,"['Tb_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-773.66894398,-7.12447,-766.54447398,3.448867,False,1.511861,-1.937006,0.0
16,AFITEP,b714160b,http://d.sunie.top:9009/material/convert/core_qmof_pdf/b714160b.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/b714160b,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/b714160b.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/b714160b.html,http://dx.doi.org/10.1039/b714160b,661009.0,C 2/c (15),"a 28.848(7)Å b 6.1751(15)Å c 17.144(4)Å, α 90° β 98.838(4)° γ 90°",,CSD,Zn2C52H32N4O8,98,4.0581,4.62844,1.1035406345301373,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[4, 1, 1]",True,False,-681.52711575,-6.84976,-674.6773557500001,1.362378,False,-0.247957,-1.610335,0.0
17,AGIMOU,c3dt52190g,http://d.sunie.top:9009/material/convert/core_qmof_pdf/c3dt52190g.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/c3dt52190g,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/c3dt52190g.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/c3dt52190g.html,http://dx.doi.org/10.1039/C3DT52190G,929552.0,P 21/n (14),"a 9.3348(10)Å b 13.0009(15)Å c 9.3606(10)Å, α 90.00° β 91.282(2)° γ 90.00°",,CSD,Mn6C8Cl4H24N40O4,86,1.11482,3.56343,1.8167892163804409,PBE-D3BJ,"['Mn_pv 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'Cl 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,True,-592.94029104,-7.37717,-585.56312104,0.90183,True,2.393387,1.491557,30.0
18,AHINIP,ic802445q,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic802445q.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic802445q,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic802445q.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic802445q.html,http://dx.doi.org/10.1021/ic802445q,714499.0,P 21 (4),"a 10.592(4)Å b 22.306(8)Å c 13.120(5)Å, α 90° β 100.813(4)° γ 90°",,CSD,Zn4C112H104N24O16,260,2.22769,4.70457,1.2910180373914837,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-1727.12320309,-18.31991,-1708.80329309,2.062508,True,1.24683,-0.815678,0.0
19,AJAYIT,s1387-7003(03)00113-8,http://d.sunie.top:9009/material/convert/core_qmof_pdf/s1387-7003(03)00113-8.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/s1387-7003(03)00113-8,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/s1387-7003(03)00113-8.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/s1387-7003(03)00113-8.html,http://dx.doi.org/10.1016/S1387-7003(03)00113-8,216431.0,P 3 c 1 (158),"a 13.3169(19)Å b 13.3169(19)Å c 14.297(3)Å, α 90° β 90° γ 120°",,CSD,Cu6Er4C48H60N12O48,178,4.85567,7.03399,1.9699968964890573,PBE-D3BJ,"['Er_3 06Sep2000', 'Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,True,-1167.11540991,-13.04097,-1154.07443991,0.956734,True,0.68866,-0.268074,0.0
20,AJOVEB,chem.201002088,http://d.sunie.top:9009/material/convert/core_qmof_pdf/chem.201002088.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/chem.201002088,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/chem.201002088.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/chem.201002088.html,http://dx.doi.org/10.1002/chem.201002088,725964.0,R 3 (148),"a 40.024(6)Å b 40.024(6)Å c 7.7200(15)Å, α 90° β 90° γ 120°",,CSD,Cd12C114F36H48O54,264,3.83905,4.73903,2.0270678949784857,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002', 'F 08Apr2002']",520,"[3, 1, 1]",True,False,-1758.56941781,-20.96629,-1737.60312781,2.9431700000000003,False,1.446706,-1.496464,0.0
21,AJUNOK,acs.cgd.5b00681,http://d.sunie.top:9009/material/convert/core_qmof_pdf/acs.cgd.5b00681.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/acs.cgd.5b00681,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/acs.cgd.5b00681.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/acs.cgd.5b00681.html,http://dx.doi.org/10.1021/acs.cgd.5b00681,1449467.0,P c c a (54),"a 16.085Å b 16.0849(13)Å c 20.2460(17)Å, α 90.00° β 90.00° γ 90.00°",,CSD,Cd8C192H112N32O32S8,384,2.86418,5.03904,1.4198254608837686,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-2693.40376821,-30.42607,-2662.97769821,1.0664669999999998,True,0.305199,-0.761268,0.0
22,AKUHOD01,not_exist,,,,,not_exist,,,,,CSD,Gd4C18H36O36,94,1.11378,2.27181,2.67711341971898,PBE-D3BJ,"['Gd_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 2]",False,False,-605.10876924,-7.4751,-597.63366924,4.491849,True,3.603779,-0.88807,0.0
23,ALATAK,acs.inorgchem.6b00397,http://d.sunie.top:9009/material/convert/core_qmof_pdf/acs.inorgchem.6b00397.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/acs.inorgchem.6b00397,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/acs.inorgchem.6b00397.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/acs.inorgchem.6b00397.html,http://dx.doi.org/10.1021/acs.inorgchem.6b00397,1447832.0,C 2/m (12),"a 14.160(5)Å b 7.271(5)Å c 8.982(5)Å, α 90.000(5)° β 108.851(5)° γ 90.000(5)°",,CSD,Ca2C12H12O12,38,2.27718,2.92449,1.629896884960516,PBE-D3BJ,"['Ca_sv 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 3, 2]",True,False,-251.8287302,-2.9012,-248.9275302,1.3780610000000002,True,1.141844,-0.236217,0.0
24,ALOLIY,j.cnki.0254-5861.2011-1180,http://d.sunie.top:9009/material/convert/core_qmof_pdf/j.cnki.0254-5861.2011-1180.pdf,not_exist,not_exist,http://d.sunie.top:9009/material/convert/core_qmof_html/j.cnki.0254-5861.2011-1180.html,http://dx.doi.org/10.14102/j.cnki.0254-5861.2011-1180,1440177.0,C 2/c (15),"a 23.113(6)Å b 7.3954(17)Å c 29.657(7)Å, α 90° β 93.037(5)° γ 90°",,CSD,Mn8C64H80O60,212,1.68542,4.05038,1.614573000843701,PBE-D3BJ,"['Mn_pv 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,True,-1392.17603356,-16.34872,-1375.82731356,0.411883,False,1.680008,1.268125,40.0
25,ALUJUN,ic902194g,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic902194g.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic902194g,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic902194g.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic902194g.html,http://dx.doi.org/10.1021/ic902194g,745288.0,P 1 (2),"a 8.613(2)Å b 10.122(3)Å c 11.095(3)Å, α 65.205(4)° β 71.609(5)° γ 78.617(5)°",,CSD,Y2C30H30N2O16,80,1.05633,2.81374,1.7367343973650673,PBE-D3BJ,"['Y_sv 25May2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 2]",False,False,-542.5014887,-6.03399,-536.4674987,3.207427,True,2.236509,-0.970918,0.0
26,ALUKAU,ic902194g,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic902194g.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic902194g,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic902194g.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic902194g.html,http://dx.doi.org/10.1021/ic902194g,745289.0,P 1 (2),"a 8.522(3)Å b 10.154(3)Å c 11.067(4)Å, α 64.726(5)° β 71.738(6)° γ 79.581(6)°",,CSD,Dy2C30H30N2O16,80,1.07061,2.80597,2.0469159765103995,PBE-D3BJ,"['Dy_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 2]",False,False,-538.82891203,-6.13497,-532.69394203,3.172663,True,2.237343,-0.93532,0.0
27,ALUKOI,ic902194g,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic902194g.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic902194g,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic902194g.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic902194g.html,http://dx.doi.org/10.1021/ic902194g,745292.0,C 2/c (15),"a 27.4670(13)Å b 16.838(2)Å c 27.9632(11)Å, α 90° β 101.776(3)° γ 90°",,CSD,Sm4C100H96N12O32S8,252,4.85303,6.54834,0.7417841207982555,PBE-D3BJ,"['Sm_3 07Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-1652.81309795,-12.54315,-1640.26994795,1.703048,True,-1.329222,-3.03227,0.0
28,ALUKUO,ic902194g,http://d.sunie.top:9009/material/convert/core_qmof_pdf/ic902194g.pdf,http://d.sunie.top:9020/index.xhtml#/material/convert/core_qmof_txt/ic902194g,http://d.sunie.top:9009/material/convert/core_qmof_txt_pdfminer/ic902194g.txt,http://d.sunie.top:9009/material/convert/core_qmof_html/ic902194g.html,http://dx.doi.org/10.1021/ic902194g,745293.0,C 2/c (15),"a 27.441(4)Å b 16.864(3)Å c 27.919(4)Å, α 90° β 101.880(3)° γ 90°",,CSD,Eu4C100H96N12O32S8,252,4.85814,6.52124,0.7449951402108478,PBE-D3BJ,"['Eu_3 20Oct2008', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-1652.89036936,-12.51611,-1640.37425936,1.7155860000000005,True,-1.325724,-3.04131,0.0
